Jersey_Number,Name,Position,Height,Weight,DOB,Country,Years_in_League,College
22,Wilson Chandler,PF,9-Jun,225,May 10 1987,us,10,DePaul University
23,Jimmy Butler,SG,8-Jun,232,September 14 1989,us,7,Marquette University
25,Ben Simmons,PG,10-Jun,230,July 20 1996,au,1,Louisiana State University
12,T.J. McConnell,PG,2-Jun,190,March 25 1992,us,3,Duquesne University University of Arizona
30,Furkan Korkmaz,SG,7-Jun,190,July 24 1997,tr,1,
,Justin Patton,C,Jul-00,241,June 14 1997,us,1,Creighton University
20,Markelle Fultz,SG,4-Jun,200,May 29 1998,us,1,University of Washington
31,Mike Muscala,PF,11-Jun,240,July 1 1991,us,5,Bucknell University
21,Joel Embiid,C,Jul-00,250,March 16 1994,cm,2,University of Kansas
,Zhaire Smith,G,4-Jun,199,June 4 1999,us,R,Texas Tech University
1,Landry Shamet,SG,5-Jun,188,March 13 1997,us,R,Wichita State University
17,J.J. Redick,SG,4-Jun,200,June 24 1984,us,12,Duke University
5,Amir Johnson,C,9-Jun,240,May 1 1987,us,13,
43,Jonah Bolden,PF,10-Jun,220,January 2 1996,au,R,University of California Los Angeles
18,Shake Milton  (TW),SG,6-Jun,207,September 26 1996,us,R,Southern Methodist University
11,Demetrius Jackson  (TW),PG,1-Jun,201,September 7 1994,us,2,University of Notre Dame